TestTime/h,Current/mA,Voltage/V,Capacity/mAh,AuxTemp/dC.,Cycle-Index,Step-State
0.0,250.0,4.099106686095239,0.0,25.0,1,rated
0.0280459207629988,250.0,4.097150604007514,7.011480190749736,25.0,1,rated
0.0560918415259978,250.0,4.095543408836774,14.022960381499471,25.0,1,rated
0.0841377622889968,250.0,4.093885099205814,21.034440572249206,25.0,1,rated
0.1121836830519956,250.0,4.092267593818412,28.045920762998943,25.0,1,rated
0.1402296038149946,250.0,4.09033426721645,35.05740095374868,25.0,1,rated
0.1682755245779936,250.0,4.088507426682363,42.06888114449841,25.0,1,rated
0.1963214453409926,250.0,4.086801440784749,49.08036133524815,25.0,1,rated
0.2243673661039914,250.0,4.08548451893303,56.091841525997886,25.0,1,rated
0.2524132868669904,250.0,4.084075153238509,63.10332171674762,25.0,1,rated
0.2804592076299894,250.0,4.082254352878343,70.11480190749735,25.0,1,rated
0.3085051283929884,250.0,4.080444033240099,77.12628209824709,25.0,1,rated
0.3365510491559872,250.0,4.079030364852277,84.13776228899683,25.0,1,rated
0.3645969699189862,250.0,4.0781148814166,91.14924247974656,25.0,1,rated
0.3926428906819852,250.0,4.076450976291573,98.1607226704963,25.0,1,rated
0.420688811444984,250.0,4.074723279253139,105.17220286124603,25.0,1,rated
0.448734732207983,250.0,4.073755755299916,112.18368305199576,25.0,1,rated
0.476780652970982,250.0,4.07226706760332,119.19516324274552,25.0,1,rated
0.504826573733981,250.0,4.071118945772107,126.20664343349524,25.0,1,rated
0.5328724944969798,250.0,4.069909815379424,133.21812362424498,25.0,1,rated
0.5609184152599788,250.0,4.068644539810028,140.2296038149947,25.0,1,rated
0.5889643360229778,250.0,4.06769448713268,147.24108400574443,25.0,1,rated
0.6170102567859768,250.0,4.066384276439329,154.25256419649418,25.0,1,rated
0.6450561775489756,250.0,4.065108213044929,161.26404438724393,25.0,1,rated
0.6731020983119747,250.0,4.064153006219252,168.27552457799365,25.0,1,rated
