t_s,I_A,voltage_V,V_pos_V,V_neg_V,sum_residual_mV,T_degC,soc,seg_id,seg_type
0.0,-5.0,3.622790652893973,3.735934175519127,0.1136626801589404,0.5191575337866183,25.0,0.2,1,anode_hold
1.0,-5.0,3.6241014494346753,3.736718836291865,0.1122958869871013,-0.3214998700884486,25.007436961534744,0.20027777777777778,1,anode_hold
2.0,-5.0,3.6255168242283,3.737639248797507,0.1117949641312308,-0.327460437976157,25.014937989346222,0.20055555555555557,1,anode_hold
3.0,-5.0,3.626207879098267,3.737818216732791,0.1110608398962574,-0.5494977382665134,25.02249711525809,0.20083333333333334,1,anode_hold
4.0,-5.0,3.6287243722866,3.738841528730125,0.1095264457471046,-0.5907106964206932,25.03011219560386,0.20111111111111113,1,anode_hold
5.0,-5.0,3.629730410764851,3.739375780311619,0.1097959341201693,0.150564573401013,25.03777977362202,0.2013888888888889,1,anode_hold
6.0,-5.0,3.630457853425067,3.739276673388314,0.1085767465992265,-0.2420733640202677,25.045504604718936,0.2016666666666667,1,anode_hold
7.0,-5.0,3.631936250047843,3.740738601816422,0.1079792316758485,-0.823120092730445,25.053269369352662,0.20194444444444445,1,anode_hold
8.0,-5.0,3.632919097696629,3.740170499126583,0.1079594957199429,0.7080942899890807,25.061093207895624,0.20222222222222222,1,anode_hold
9.0,-5.0,3.633793293757656,3.7410229787984006,0.1075924546349536,0.3627695942083342,25.06895915898921,0.20249999999999999,1,anode_hold
10.0,-5.0,3.635375753575296,3.7417765809296415,0.1061302608947386,-0.2705664596067691,25.076866296861844,0.20277777777777778,1,anode_hold
11.0,-5.0,3.6361147863079815,3.741352968918408,0.10556514582425,0.3269632138231948,25.084813720717182,0.20305555555555554,1,anode_hold
12.0,-5.0,3.6372452312398647,3.74284465822309,0.1048942778274764,-0.7051491557490408,25.09281318638069,0.20333333333333334,1,anode_hold
13.0,-5.0,3.638252470502736,3.7433557032594846,0.1043530862779483,-0.7501464788006729,25.100853552420524,0.2036111111111111,1,anode_hold
14.0,-5.0,3.6397813655588993,3.743449113673956,0.103714643333957,0.0468952189005555,25.108930704765573,0.2038888888888889,1,anode_hold
15.0,-5.0,3.6407770705815374,3.744033569775412,0.1028854782839072,-0.3710209099665462,25.11704390540428,0.20416666666666666,1,anode_hold
16.0,-5.0,3.642137709493346,3.744476840332368,0.1019378607934448,-0.4012700455771067,25.12519843681214,0.20444444444444446,1,anode_hold
17.0,-5.0,3.642958100517162,3.744800664935678,0.1022464004787687,0.4038360602525159,25.133395035490143,0.20472222222222222,1,anode_hold
18.0,-5.0,3.644330867109342,3.745633240556384,0.1008540240362271,-0.448349410814064,25.141637220310244,0.205,1,anode_hold
19.0,-5.0,3.645167931472782,3.745631714612972,0.1000696236553863,-0.3941594848035912,25.149908241301635,0.20527777777777778,1,anode_hold
20.0,-5.0,3.6468308481081233,3.746168952566675,0.0998636082029597,0.5255037444080735,25.158179262293025,0.20555555555555555,1,anode_hold
21.0,-5.0,3.6477068854549977,3.746710602558021,0.098827924577955,-0.1757925250682745,25.166533960151284,0.20583333333333334,1,anode_hold
22.0,-5.0,3.648820673202742,3.7472747825402353,0.0986098387626234,0.1557294251304242,25.174889887622232,0.2061111111111111,1,anode_hold
23.0,-5.0,3.64987648475559,3.747760345882791,0.0978966694893844,0.0128083621833141,25.183276151861392,0.2063888888888889,1,anode_hold
24.0,-5.0,3.6504212850832674,3.747371924296985,0.09738252330374,0.4318840900223719,25.191709360870508,0.20666666666666667,1,anode_hold
25.0,-5.0,3.651930645383772,3.7475997466149376,0.0963909688078689,0.7218675767033389,25.20014256987962,0.20694444444444446,1,anode_hold
26.0,-5.0,3.653206510880018,3.748557813997952,0.0961905602095762,0.8392570916417874,25.20862927479416,0.20722222222222222,1,anode_hold
27.0,-5.0,3.65297238290794,3.74896158072276,0.0950370738918097,-0.9521239230099175,25.2171293888614,0.2075,1,anode_hold
28.0,-5.0,3.65378409046456,3.749020803758746,0.0946234115162944,-0.6133017778915395,25.225656481540337,0.20777777777777778,1,anode_hold
29.0,-5.0,3.6546498619750456,3.749807184315662,0.0946230003004919,-0.5343220401243798,25.234214501180755,0.20805555555555555,1,anode_hold
30.0,-5.0,3.6561453147355656,3.750268623653205,0.0940821068687772,-0.0412020488624875,25.242779577129166,0.20833333333333334,1,anode_hold
31.0,-5.0,3.656678224824391,3.750546733329282,0.0941852349380305,0.3167264331396247,25.25139095880713,0.2086111111111111,1,anode_hold
32.0,-5.0,3.65770984591899,3.7512855944234498,0.0933060003180372,-0.2697481864224471,25.26000234048509,0.2088888888888889,1,anode_hold
33.0,-5.0,3.6583179741969833,3.750814233349963,0.0924869308728565,-0.0093282801238991,25.26865312603762,0.20916666666666667,1,anode_hold
34.0,-5.0,3.6588712887606927,3.751479883219808,0.0926742000345985,0.0656055754828521,25.27731385124053,0.20944444444444446,1,anode_hold
35.0,-5.0,3.659585653726583,3.7523992091657226,0.0922144171760597,-0.5991382630798903,25.28599569068217,0.20972222222222223,1,anode_hold
36.0,-5.0,3.660125094666395,3.752353696153984,0.0920194693211886,-0.2091321663999501,25.294701833611303,0.21,1,anode_hold
37.0,-5.0,3.66110856821259,3.75214069651508,0.0912738071413787,0.2416788388890367,25.303413453478083,0.21027777777777779,1,anode_hold
38.0,-5.0,3.661157464761644,3.752868070201234,0.0910685854957159,-0.6420199438745833,25.31216133581289,0.21055555555555555,1,anode_hold
39.0,-5.0,3.662018171303276,3.753491371960738,0.0909984408326797,-0.4747598247822893,25.32090921814769,0.21083333333333334,1,anode_hold
40.0,-5.0,3.6628440140859975,3.754084884953974,0.0908948310163105,-0.3460398516659246,25.32968748976126,0.2111111111111111,1,anode_hold
41.0,-5.0,3.6639323912451456,3.753969487741138,0.0904920020993452,0.4549056033535947,25.338473475622752,0.2113888888888889,1,anode_hold
42.0,-5.0,3.6637591775243914,3.754432527367955,0.0903077659296495,-0.3655839139149464,25.347282619304,0.21166666666666667,1,anode_hold
43.0,-5.0,3.664233287532357,3.754040351996528,0.0893777307965304,-0.4293336676410852,25.356118527961645,0.21194444444444446,1,anode_hold
44.0,-5.0,3.6649565084215374,3.7546037383904767,0.0894831695632258,-0.164060405712707,25.36495443661929,0.21222222222222223,1,anode_hold
45.0,-5.0,3.665984765152423,3.7553439891844898,0.0893462330454985,-0.0129909865687061,25.37379034527693,0.2125,1,anode_hold
46.0,-5.0,3.666191970751006,3.754989412967695,0.0893035364827092,0.5060942660199963,25.38262625393457,0.2127777777777778,1,anode_hold
47.0,-5.0,3.6671593427076328,3.755545938906261,0.0888774348187947,0.4908386201663006,25.39150360818456,0.21305555555555555,1,anode_hold
48.0,-5.0,3.666682239717442,3.7552750323585062,0.0885227216729649,-0.0700709680994116,25.400391549663656,0.21333333333333335,1,anode_hold
49.0,-5.0,3.668064515486156,3.756572562295686,0.0883563293843878,-0.1517174251417508,25.40927949114275,0.2136111111111111,1,anode_hold
50.0,-5.0,3.668518378386428,3.756361008351415,0.0881626455024946,0.3200155375080449,25.41816743262185,0.2138888888888889,1,anode_hold
51.0,-5.0,3.668243989317829,3.756844162720407,0.0875700000614882,-1.0301733410895686,25.427073035906915,0.21416666666666667,1,anode_hold
52.0,-5.0,3.669163576133282,3.75647987739435,0.0878258506068694,0.5095493458013856,25.43599061538804,0.21444444444444447,1,anode_hold
53.0,-5.0,3.669936775219159,3.75680050507644,0.0878678530397831,1.004123182501537,25.444916410343115,0.21472222222222223,1,anode_hold
54.0,-5.0,3.670059084772298,3.758013006818506,0.0876392799466954,-0.3146420995125965,25.45384977796991,0.215,1,anode_hold
55.0,-5.0,3.670809046932901,3.757615420114069,0.0866493629011803,-0.1570102799872685,25.462789206129067,0.2152777777777778,1,anode_hold
56.0,-5.0,3.671717709830216,3.757811994030857,0.0869705138749834,0.8762296743429765,25.471736199155465,0.21555555555555556,1,anode_hold
57.0,-5.0,3.67159650477602,3.7583894832244753,0.0862663597316161,-0.5266187168389003,25.48069041943168,0.21583333333333335,1,anode_hold
58.0,-5.0,3.671947431203777,3.75865764161171,0.0867844811983577,0.0742707904244355,25.48964917381072,0.21611111111111111,1,anode_hold
59.0,-5.0,3.672317470683911,3.758143506942703,0.0863526429470756,0.5266066882834153,25.498616306596094,0.2163888888888889,1,anode_hold
60.0,-5.0,3.673260451550077,3.7586944448997768,0.086137029926733,0.7030365770326341,25.50758574518191,0.21666666666666667,1,anode_hold
61.0,-5.0,3.673508733920468,3.759252271781432,0.0854679479943455,-0.2755898666180201,25.51656382196785,0.21694444444444447,1,anode_hold
62.0,-5.0,3.6740065606647754,3.7594816979621126,0.0848379190727959,-0.6372182245422131,25.52554455161398,0.21722222222222223,1,anode_hold
63.0,-5.0,3.6745017283075656,3.759825913662553,0.0848712284851189,-0.4529568698683484,25.53453033622346,0.21750000000000003,1,anode_hold
64.0,-5.0,3.675178395827543,3.759822485420154,0.0848628644449487,0.2187748523372334,25.54352008099364,0.2177777777777778,1,anode_hold
65.0,-5.0,3.67510154479441,3.7600996324972304,0.0843123231927075,-0.6857645101128185,25.55251192911664,0.21805555555555556,1,anode_hold
66.0,-5.0,3.675381095969911,3.760476462894384,0.0842678963003664,-0.8274706241060414,25.561508463079395,0.21833333333333335,1,anode_hold
67.0,-5.0,3.675528876560185,3.760426015490547,0.0849023582517661,0.0052193214044038,25.57050634848308,0.21861111111111112,1,anode_hold
68.0,-5.0,3.677038263033211,3.760603873666788,0.0837827557623149,0.2171451287376058,25.579506587238907,0.2188888888888889,1,anode_hold
69.0,-5.0,3.67713365772144,3.760911771593967,0.0841310946008651,0.3529807283388919,25.58850904619757,0.21916666666666668,1,anode_hold
70.0,-5.0,3.6780045888932142,3.7613006104003737,0.083187113261066,-0.108908246093442,25.59751255107417,0.21944444444444444,1,anode_hold
71.0,-5.0,3.6780149038033167,3.761472334019596,0.0835756031696955,0.1181729534165398,25.606518330209653,0.2197222222222222,1,anode_hold
72.0,-5.0,3.678272928524824,3.761591416238703,0.0834926020369089,0.174114323029606,25.61552497339756,0.22,1,anode_hold
73.0,-5.0,3.679133237546722,3.761879426204823,0.0831000739346865,0.3538852765858635,25.624532795415533,0.22027777777777777,1,anode_hold
74.0,-5.0,3.679472635901301,3.762158742159032,0.0830401986508711,0.3540923931404371,25.633541931948443,0.22055555555555556,1,anode_hold
75.0,-5.0,3.6796277260464905,3.7624886382150526,0.0829269518382372,0.0660396696749998,25.642551612715646,0.22083333333333333,1,anode_hold
76.0,-5.0,3.680242073235944,3.762716546057753,0.0816855997904173,-0.7888730313911907,25.651562407298872,0.22111111111111112,1,anode_hold
